przystanek,nr_przystanku,linia,kierunek,dzieñ,godzina przyjazdu
Centrum Olimpijskie,02,114,Bródno Podgrodzie,2024-06-22,19:34:25
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-22,19:35:46
¯erañ FSO,04,114,Bródno Podgrodzie,2024-06-22,19:37:11
PKP Toruñska,02,114,Bródno Podgrodzie,2024-06-22,19:38:08
Bazyliañska,01,114,Bródno Podgrodzie,2024-06-22,19:38:43
Pelcowizna,06,114,UKSW,2024-06-22,19:36:04
PKP Toruñska,01,114,UKSW,2024-06-22,19:37:24
¯erañ FSO,03,114,UKSW,2024-06-22,19:38:43
most Grota-Roweckiego,01,114,UKSW,2024-06-22,19:41:13
Czarnieckiego,02,114,UKSW,2024-06-22,19:44:25
pl.Wilsona,06,114,UKSW,2024-06-22,19:47:37
Suzina,02,114,UKSW,2024-06-22,19:48:07
pl.Wilsona,05,114,Bródno Podgrodzie,2024-06-22,19:54:15
Czarnieckiego,01,114,Bródno Podgrodzie,2024-06-22,19:53:44
Centrum Olimpijskie,02,114,Bródno Podgrodzie,2024-06-22,19:55:53
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-22,19:57:27
¯erañ FSO,04,114,Bródno Podgrodzie,2024-06-22,19:59:02
PKP Toruñska,02,114,Bródno Podgrodzie,2024-06-22,20:00:15
Bazyliañska,01,114,Bródno Podgrodzie,2024-06-22,20:01:27
pl.Wilsona,05,114,Bródno Podgrodzie,2024-06-22,20:13:50
Czarnieckiego,01,114,Bródno Podgrodzie,2024-06-22,20:13:50
Centrum Olimpijskie,02,114,Bródno Podgrodzie,2024-06-22,20:15:50
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-22,20:17:51
¯erañ FSO,04,114,Bródno Podgrodzie,2024-06-22,20:19:50
PKP Toruñska,02,114,Bródno Podgrodzie,2024-06-22,20:21:21
Bazyliañska,01,114,Bródno Podgrodzie,2024-06-22,20:22:21
Pelcowizna,06,114,UKSW,2024-06-22,20:16:45
PKP Toruñska,01,114,UKSW,2024-06-22,20:17:42
¯erañ FSO,03,114,UKSW,2024-06-22,20:19:01
most Grota-Roweckiego,01,114,UKSW,2024-06-22,20:21:15
Czarnieckiego,02,114,UKSW,2024-06-22,20:23:48
pl.Wilsona,06,114,UKSW,2024-06-22,20:25:28
Suzina,02,114,UKSW,2024-06-22,20:26:18
