przystanek;nr_przystanku;linia;dzień;godzina docelowa
7085;02;190;2024-07-06;06:03:00
7085;02;190;2024-07-06;06:19:00
7085;02;190;2024-07-06;06:34:00
7085;02;190;2024-07-06;06:49:00
7085;02;190;2024-07-06;07:04:00
7085;02;190;2024-07-06;07:19:00
7085;02;190;2024-07-06;07:31:00
7085;02;190;2024-07-06;07:41:00
7085;02;190;2024-07-06;07:51:00
7085;02;190;2024-07-06;08:01:00
7085;02;190;2024-07-06;08:11:00
7085;02;190;2024-07-06;08:22:00
7085;02;190;2024-07-06;08:32:00
7085;02;190;2024-07-06;08:42:00
7085;02;190;2024-07-06;08:52:00
7085;02;190;2024-07-06;09:02:00
7085;02;190;2024-07-06;09:12:00
7085;02;190;2024-07-06;09:22:00
7085;02;190;2024-07-06;09:32:00
7085;02;190;2024-07-06;09:42:00
7085;02;190;2024-07-06;09:52:00
7085;02;190;2024-07-06;10:02:00
7085;02;190;2024-07-06;10:12:00
7085;02;190;2024-07-06;10:22:00
7085;02;190;2024-07-06;10:32:00
7085;02;190;2024-07-06;10:42:00
7085;02;190;2024-07-06;10:52:00
7085;02;190;2024-07-06;11:02:00
7085;02;190;2024-07-06;11:12:00
7085;02;190;2024-07-06;11:22:00
7085;02;190;2024-07-06;11:32:00
7085;02;190;2024-07-06;11:42:00
7085;02;190;2024-07-06;11:52:00
7085;02;190;2024-07-06;12:02:00
7085;02;190;2024-07-06;12:12:00
7085;02;190;2024-07-06;12:22:00
7085;02;190;2024-07-06;12:32:00
7085;02;190;2024-07-06;12:42:00
7085;02;190;2024-07-06;12:52:00
7085;02;190;2024-07-06;13:02:00
7085;02;190;2024-07-06;13:12:00
7085;02;190;2024-07-06;13:22:00
7085;02;190;2024-07-06;13:32:00
7085;02;190;2024-07-06;13:42:00
7085;02;190;2024-07-06;13:52:00
7085;02;190;2024-07-06;14:02:00
7085;02;190;2024-07-06;14:12:00
7085;02;190;2024-07-06;14:22:00
7085;02;190;2024-07-06;14:32:00
7085;02;190;2024-07-06;14:42:00
7085;02;190;2024-07-06;14:52:00
7085;02;190;2024-07-06;15:02:00
7085;02;190;2024-07-06;15:12:00
7085;02;190;2024-07-06;15:22:00
7085;02;190;2024-07-06;15:32:00
7085;02;190;2024-07-06;15:42:00
7085;02;190;2024-07-06;15:52:00
7085;02;190;2024-07-06;16:02:00
7085;02;190;2024-07-06;16:12:00
7085;02;190;2024-07-06;16:22:00
7085;02;190;2024-07-06;16:32:00
7085;02;190;2024-07-06;16:42:00
7085;02;190;2024-07-06;16:52:00
7085;02;190;2024-07-06;17:02:00
7085;02;190;2024-07-06;17:12:00
7085;02;190;2024-07-06;17:22:00
7085;02;190;2024-07-06;17:32:00
7085;02;190;2024-07-06;17:42:00
7085;02;190;2024-07-06;17:52:00
7085;02;190;2024-07-06;18:02:00
7085;02;190;2024-07-06;18:12:00
7085;02;190;2024-07-06;18:21:00
7085;02;190;2024-07-06;18:31:00
7085;02;190;2024-07-06;18:41:00
